# Release-world tree GROUND PROFILES: how far the ground rises, in decimetres, at
# 16.0 m from each authored tree seat along each of 8 compass bearings.
#
# WHAT IT IS FOR: laying a felled log along the terrain with NO runtime terrain
# query. The game server has no collision mesh for the island it drops the trunk
# onto, so the slope it needs is baked here, ahead of time, one signed byte per
# seat per bearing. Read the bearings either side of the fall heading and tilt.
# The value is the SMALLEST rise for which a straight log line from the seat
# clears every sampled ground point along that bearing - it rests on the high
# side, it does not average.
#
# GENERATED by tools/world-import/generate-tree-ground-profiles.py from
# docs/research/world-data/island-surfaces/ and release-tree-placements.json.
# Regenerate it; do not hand-edit it.
#
# Covered 251 islands, 13266 seats. Skipped 1 islands (0 seats) with no authored
# seats or no extracted surface.
# schema 1 reach 16.0 bearings 8 corridor 4.0 deck 6.0 min-t 8.0 unknown -128
# Bearing 0 is +Z (island-local); each step is +45 degrees towards +X.
# '@' starts an island: '@ <workshopId> <seatCount>'. Then one line per seat, in
# release-tree-placements.json order: 8 signed decimetre integers, space separated.
@ 650186469 60
27 -128 41 -13 -17 -10 -1 3
80 -16 -18 -2 -11 65 -128 80
0 21 -128 17 0 -128 -128 -128
6 -4 52 64 61 49 12 -9
-27 -10 14 -128 -128 85 -128 -80
33 40 -6 -38 -25 23 57 40
15 16 45 65 53 52 39 16
43 -128 59 42 77 -128 -128 0
-10 -28 -59 -78 -50 -9 39 24
14 24 37 16 -3 -16 -8 -11
19 13 2 12 -44 -49 34 77
-28 -36 -29 -8 3 -128 -128 2
38 0 -29 -51 -38 0 16 8
-1 0 2 2 2 2 2 -5
20 6 -1 7 5 -1 -1 10
0 6 0 17 12 -19 -11 0
35 10 11 -16 -53 -60 -18 7
-2 -28 -19 -22 8 13 -18 8
12 -7 -14 -24 8 40 39 20
-128 -128 -128 -4 -7 -15 -10 -128
6 -27 5 41 27 4 20 24
20 14 7 1 -39 -47 8 17
-3 -2 2 1 -1 -2 -1 -2
1 0 -3 0 18 41 44 0
-14 38 39 -30 -22 7 -17 -57
25 4 -128 -128 -33 -39 -103 -128
-1 -5 -3 -2 2 26 11 13
-22 -28 -7 1 9 8 5 -7
30 28 -13 -73 -37 -12 30 12
36 15 30 -32 -52 24 44 35
-32 14 -9 -34 -128 -128 -72 -128
78 75 78 40 58 61 54 45
-28 -10 -3 -40 -36 -26 -32 -13
1 -13 -70 -89 -38 -28 19 13
-50 -51 -40 -35 22 19 19 -23
-1 0 -1 -2 3 6 3 0
3 -14 -5 -28 -31 -19 -8 11
-2 -44 -72 -128 -128 -76 -34 -50
-19 -44 -44 -24 19 4 -4 -10
18 5 13 10 6 -5 5 5
15 -51 -36 -128 -35 -35 15 48
27 17 10 -9 -25 4 16 26
-5 1 21 -1 -18 -21 49 31
29 -5 -76 -11 -14 -63 -11 12
-128 63 3 48 115 -128 -128 -128
20 -41 -72 -16 20 -20 -64 -50
44 26 40 25 16 14 12 23
-128 -128 -128 17 5 -6 -42 -28
0 35 50 44 32 14 -128 0
18 56 56 18 -6 -37 -10 12
@ 1219594942 60
-1 0 1 1 1 0 0 -1
0 0 0 0 0 0 0 0
-1 -1 0 0 1 1 0 0
0 0 0 0 1 0 0 0
0 0 0 1 2 1 0 0
5 3 2 -3 -6 -5 1 4
-1 -1 0 1 1 1 0 0
1 0 -1 1 2 0 1 1
-1 2 3 2 1 -40 -19 -24
-1 0 1 0 -1 -1 -1 -2
21 16 12 -16 -128 -14 -5 8
-2 -4 -1 2 3 1 2 -1
-128 -7 14 16 19 17 14 -5
7 -1 -9 -12 -6 -7 9 10
1 1 0 0 -1 -1 -1 0
7 5 1 -7 -20 -21 -2 4
-1 -1 0 0 2 2 1 0
-1 -2 -1 -1 0 1 2 1
2 1 0 -1 2 0 1 2
6 4 1 -6 -8 -7 1 5
2 0 -2 -3 -1 -1 1 2
-28 -23 0 1 1 1 0 -27
21 -128 -128 -55 -30 -15 -128 20
0 -4 -6 -5 1 6 8 4
0 0 -1 -1 0 0 0 0
0 -1 0 0 1 0 -1 -1
23 20 24 15 0 -128 -3 12
-1 0 0 1 1 0 -1 -1
-2 -6 -6 -3 2 6 6 3
13 9 13 10 5 -8 0 2
0 5 7 3 -2 -13 -7 -5
7 42 51 33 17 -1 -13 -11
1 0 -1 -1 -1 0 1 1
0 0 0 0 0 0 0 0
5 -20 -34 -39 -20 -1 10 14
0 1 3 2 0 -2 -3 -2
89 -128 77 46 67 -128 -48 28
-6 -3 3 5 4 2 -3 -17
1 -1 -2 -1 1 2 4 3
-9 -13 -42 4 4 2 0 -3
-15 -20 -12 2 15 15 2 -3
3 -2 -7 18 23 6 6 6
-1 -1 -1 -5 -2 3 5 3
0 -5 -7 -5 1 4 7 5
0 -128 -128 -4 0 4 6 4
18 13 10 -18 -39 -39 -15 10
5 4 0 -44 -46 -28 -5 1
9 7 -2 -48 -60 -43 1 5
1 2 3 2 -2 -4 -2 -1
0 -1 0 0 1 1 0 -1
0 -3 -3 -3 -3 -1 3 2
0 -1 -1 -2 -1 0 1 1
0 1 1 1 0 -1 -1 -1
0 1 2 2 0 -1 -2 -2
-1 -1 -1 0 1 1 0 0
-3 -10 -11 -10 -1 5 7 4
-1 1 2 2 1 -1 -1 -2
2 -6 -1 -1 3 7 11 8
0 0 0 0 0 0 0 0
111 84 -10 -56 97 79 48 76
@ 1226730297 24
1 -2 1 3 4 6 3 1
-3 -4 -1 1 -3 1 4 -4
-15 110 116 -128 -128 47 -8 -18
4 3 -1 -9 0 -2 -5 -14
3 3 55 26 109 60 27 12
-31 -86 -4 13 9 5 1 -1
-8 -10 -11 34 42 24 7 -11
0 -128 60 -48 -128 -55 22 0
-40 -22 10 3 2 -1 -7 -25
-128 -128 6 -6 11 21 -128 -128
20 17 5 -4 -54 -85 -11 15
-128 -77 -1 10 19 -14 -12 -128
-39 -65 -15 31 56 49 52 -38
-128 -67 -128 -128 -128 -7 -1 2
1 -5 1 4 5 1 -6 -5
0 -12 0 1 1 1 0 0
0 0 1 0 0 0 0 -3
3 5 7 -10 -2 -6 0 1
10 -128 -41 -128 3 4 4 0
0 0 1 0 -1 -4 0 2
-32 -128 19 4 2 4 4 4
-1 -1 -1 3 -25 -80 7 -3
5 5 -1 -10 -11 -11 2 9
-7 18 -1 2 39 6 -46 -62
@ 1228322642 60
-5 -12 53 77 48 3 -23 -7
-128 41 30 0 -7 -6 58 77
78 71 55 94 60 44 111 89
-40 -22 12 9 54 15 -5 -128
80 71 55 73 68 -28 -128 55
0 0 -128 -128 0 8 -56 -128
-5 -16 27 15 -36 14 15 -128
12 48 -117 -39 -128 -128 -95 -59
116 -128 61 69 61 49 77 -128
-128 -128 -128 -128 -42 -21 14 54
-21 -62 -71 48 2 -20 -128 -128
13 10 32 44 36 0 -5 4
-128 1 32 0 -72 -128 -128 -128
88 88 88 92 -128 21 21 34
58 -128 -128 -46 38 96 -128 -128
2 -16 -95 -40 -5 -21 -92 -25
31 -128 101 52 -7 -22 -128 -128
79 -12 -19 -7 -10 73 51 59
53 70 102 72 -3 -26 1 34
-128 -128 -128 81 83 -128 -128 0
5 -33 39 64 -18 -128 -11 -13
77 68 80 62 -30 43 50 24
-74 -69 -10 7 41 23 3 -80
-68 -40 47 -20 47 -54 -77 -63
17 21 -128 29 27 19 0 6
61 47 14 44 92 24 39 23
-48 -48 -50 -29 -16 -47 -78 -128
0 28 -128 0 22 0 16 0
-6 57 80 56 -6 16 4 13
-21 56 85 55 -22 39 38 18
46 -128 -128 96 -128 -128 -128 -128
-128 -128 79 65 -16 -57 -128 -128
74 25 51 -31 63 59 62 -128
-3 42 -40 -12 6 -47 -109 -81
-128 -128 -128 -128 23 5 -128 -128
-128 82 22 6 -14 0 18 0
-68 -18 71 -128 -128 -128 -128 -128
47 65 75 79 -128 -128 -128 -128
30 5 -128 -128 -128 -73 -86 -25
-5 50 -1 -128 -128 -128 -128 -128
-128 -42 4 -128 -128 -128 -128 -128
-128 -128 -9 40 67 51 -58 -74
-109 -15 -16 -21 8 -20 -57 -128
-128 -128 -128 -128 -128 -128 -128 -128
5 -2 11 32 40 -70 -128 -128
68 -128 -128 -128 -128 -128 -41 15
-128 -128 -128 -128 -128 0 -128 -128
-2 56 88 112 47 44 47 -128
-49 -18 88 7 -45 -128 -91 -128
-22 -7 64 -128 97 40 6 -7
42 -128 22 -128 100 102 109 83
-1 68 84 38 -5 -67 -90 -63
27 16 13 11 -53 -12 38 26
-128 -128 -128 46 65 -128 -91 0
12 -128 -128 -53 -128 -128 13 -59
0 -128 79 71 29 -12 -128 -33
107 -128 64 72 68 -12 -89 40
-128 -128 16 23 24 13 61 -128
-29 7 39 10 23 -7 -12 -44
-51 -84 -128 -56 -128 -128 -128 -45
@ 1230084434 60
43 4 -38 -57 -48 -41 34 68
25 44 51 12 2 -19 3 9
14 14 -128 -111 -118 9 90 -128
-1 -25 -7 -34 -38 -74 -65 -41
-28 4 -22 0 53 36 0 -24
63 73 53 2 -15 -23 -16 0
-18 -36 -7 -25 -10 24 -128 5
-10 -4 -4 10 40 56 54 0
26 31 49 46 32 -29 -34 -15
83 45 25 3 -24 -29 -128 -128
60 -128 -128 88 113 -128 -128 103
59 43 -8 -2 10 -14 -2 32
6 -58 -128 -71 -74 -23 15 45
6 34 26 22 2 -31 -42 -16
14 -75 -57 50 53 28 11 31
28 67 7 -22 -51 35 5 -26
-29 -24 -14 0 2 14 -4 -26
24 4 -27 -20 11 28 24 28
-14 -30 -3 -14 -21 -25 -2 -8
58 -34 -41 19 20 -128 65 53
21 29 21 0 6 9 9 0
-6 -4 23 29 25 28 18 6
11 -2 2 1 3 7 8 11
8 -45 19 38 44 -21 -25 -128
34 2 12 5 8 -8 -2 25
-34 -48 -23 13 25 11 16 -16
13 14 -4 -56 -43 -62 -14 -5
17 -22 -12 7 11 24 60 78
25 47 72 44 25 -46 -42 -14
-15 -43 -128 13 19 13 14 15
-8 -128 -48 -10 9 -4 0 -48
76 44 -60 -128 -128 -60 0 44
-1 -1 -1 -1 -4 -6 -4 -3
-35 -43 -65 0 44 34 9 -21
38 31 15 32 -128 -128 52 59
1 40 60 73 19 11 -19 1
-25 -33 -4 41 76 -128 63 -10
2 -44 -37 3 3 -128 35 -5
4 58 62 39 39 23 0 -18
0 -7 -128 14 27 -128 -128 17
39 -12 -45 -53 -31 -62 -27 8
11 -13 -32 -43 -37 -29 17 29
-128 -18 -17 36 83 -128 83 -128
47 55 51 38 12 -82 -128 -32
24 13 -12 -12 7 13 20 36
-24 -48 -2 44 46 23 25 29
20 49 74 54 12 -11 -9 -8
57 59 39 17 0 58 62 29
5 -1 -5 -1 4 39 25 13
0 0 -3 -4 -51 -128 -83 22
38 46 51 62 46 35 32 -2
-20 -28 -1 -16 -128 -128 5 -20
-6 7 38 26 3 -3 -3 -3
32 11 21 15 -13 -45 -7 18
-48 -17 15 66 72 44 15 -53
-10 -4 -4 0 40 56 54 0
22 -21 -15 -9 2 -8 3 26
-21 -2 40 52 36 3 -38 -62
14 -3 -15 12 63 -128 73 64
30 -20 -40 -89 -62 -29 -18 -17
@ 1230118624 15
-5 -17 -17 -17 -5 0 5 0
-128 -128 -6 17 31 17 -17 -128
30 16 -8 -47 -128 -128 -20 16
2 13 14 -2 -21 -74 -33 -21
1 -128 -1 -9 -20 -23 -10 -3
-9 -5 9 -28 2 10 3 -36
-128 -128 -31 7 5 5 1 -128
10 9 -4 -5 -5 -5 -2 -128
22 4 -18 -128 -128 -128 -3 19
-8 -2 10 12 13 -128 -128 -128
1 -9 -2 -4 1 -1 0 2
-128 -128 -128 -128 -128 9 23 24
5 1 -30 -128 -128 -43 -8 1
23 5 -2 -23 -17 -17 1 6
-7 -128 -128 -128 -7 7 24 12
@ 1234296661 49
1 18 -1 2 24 -128 43 1
-29 -128 -45 31 15 -11 -128 -128
-128 -8 -4 -128 -128 -128 10 -6
-114 -128 -18 48 -23 -128 -128 -128
-2 24 -3 -24 -6 -14 -14 -12
32 -3 -4 -6 10 5 33 -128
-6 -34 -47 -128 -128 -128 -128 -128
-70 -128 58 18 7 -6 -28 -76
-78 29 58 35 13 -2 -20 -128
5 5 -128 7 6 6 -128 -1
-42 -42 -31 -9 16 21 17 -24
113 -4 -9 -3 20 19 -128 -128
-128 -128 51 2 6 -2 -6 60
25 29 25 36 26 2 0 9
4 35 37 14 -128 -128 -17 -4
-27 13 -11 -14 -15 -27 -30 -33
-39 -21 -28 -36 -39 -62 -128 -128
-6 -51 -33 -128 -111 -34 58 -128
11 -128 -128 -16 7 -128 10 -11
-128 6 -1 -37 -29 -17 28 12
-10 28 30 -128 19 26 8 -13
11 -9 -9 -8 -12 60 -128 11
15 15 1 -3 -6 -13 -14 -14
40 -10 0 -33 -128 -30 40 -128
64 61 11 -14 -43 -20 3 29
2 35 24 -1 -9 -21 -6 -5
35 1 2 6 29 6 33 101
6 -15 -39 -128 -128 -128 -38 -5
-15 -23 49 48 -128 35 3 -9
-8 -24 -17 -24 11 36 38 -15
-29 -37 -40 -128 -128 -33 -26 -33
6 15 10 -128 -59 -18 -14 -42
47 24 2 29 25 2 17 37
19 21 -16 -60 -57 17 35 76
-49 -47 -49 -128 -128 34 31 16
-66 -79 64 25 12 28 9 -128
63 10 9 0 -128 -128 9 21
32 -3 32 -128 -1 61 -128 -128
10 15 -3 -1 20 14 6 0
-128 -128 -128 -128 -7 28 32 38
0 -34 0 -128 0 -26 -73 -58
19 -128 -20 -128 -128 4 -128 31
18 -11 19 -128 99 70 -128 -128
41 78 41 -47 1 -33 2 -10
46 45 46 30 8 -1 28 25
-13 -34 30 14 -109 -128 -35 -9
-128 -128 41 -15 -2 -4 7 65
-19 -8 10 16 -128 -2 -11 -15
-40 -50 -53 36 -128 31 32 43
@ 1235184664 60
-128 -128 0 0 0 -128 -128 -128
0 0 0 0 0 -128 -128 -128
0 0 0 0 0 0 0 0
0 0 0 -128 -128 -128 -128 -128
-33 -38 3 0 -8 -16 5 9
-128 -128 -128 -128 -128 -128 4 -128
13 2 2 1 -1 -2 -2 1
6 5 5 2 -1 -3 4 4
-128 -128 -128 -128 26 70 71 15
22 -19 -25 -23 -22 -46 -10 12
0 -128 3 -128 -128 -128 0 43
-4 -81 -128 -128 33 -128 -128 22
4 0 -3 -2 1 7 5 4
-2 -1 2 -5 1 4 5 0
4 5 7 -2 0 -2 0 0
-14 -19 2 5 8 -19 -16 -18
24 13 -2 -13 -16 -19 -7 8
-128 -128 0 16 48 20 -1 -128
-4 17 2 -10 6 30 55 15
-26 -63 -55 -46 -22 -20 -42 -59
0 -128 -128 -128 0 0 0 0
2 1 1 1 1 -2 -12 -7
0 -1 -2 -1 0 1 2 1
0 0 0 -128 -128 -128 -128 -128
-5 5 10 -8 5 -7 -128 -128
8 8 9 -1 -5 -23 -14 0
-10 -128 -21 -4 14 -10 -14 -13
18 -3 4 39 14 -21 -20 -7
0 0 1 1 1 0 -1 -1
12 1 -4 -3 26 -24 -128 -3
-3 7 17 15 12 3 22 17
-42 -35 -29 -8 -9 -11 13 3
-11 -2 39 18 5 -14 -15 -18
-34 -69 -47 0 26 3 -3 -15
-3 9 17 15 6 -6 11 -6
4 -128 7 10 22 5 8 5
-15 -19 -12 -8 9 18 20 2
13 13 2 -13 -12 -3 4 4
-128 -128 -8 4 31 39 42 -5
-14 8 24 26 33 -26 -4 -23
-128 -128 -6 45 6 1 -5 -128
1 2 3 2 2 4 0 3
0 0 0 0 0 0 0 0
6 0 1 21 7 14 34 84
0 1 1 16 7 31 5 -2
-9 2 15 -5 -128 -6 -4 -5
-21 4 -128 -128 -94 -7 3 14
4 2 1 0 -1 -1 0 3
-1 0 1 5 12 10 6 -3
0 -128 -128 -128 0 0 0 0
6 4 0 -6 -7 -12 -7 -2
9 -6 -10 -1 -24 -51 -52 -4
-117 -84 1 5 -8 -128 -3 -8
-8 16 53 73 41 0 -6 -14
47 45 12 -9 -9 -12 -6 16
7 11 13 9 13 2 -3 -5
-2 -4 0 0 0 0 0 -1
7 8 10 6 0 -128 -128 -128
0 0 0 0 0 0 0 0
4 6 1 -3 -4 -5 -2 1
@ 1236060052 60
-3 -2 0 21 28 33 30 -2
-8 -13 -1 2 12 9 1 -14
-128 -128 -128 7 18 12 2 -128
-4 -3 17 31 -128 77 26 -1
-128 -128 -128 -128 64 -21 -62 -128
37 70 74 84 101 69 73 8
15 -4 -128 -128 -8 1 5 5
-21 -20 -19 7 -128 -128 -128 10
46 37 -23 -128 -128 -128 -128 50
-12 -11 1 4 14 23 1 -5
21 -5 -6 1 3 10 22 20
-7 6 5 12 49 46 33 -128
0 -128 -128 31 1 5 6 5
6 -2 0 -128 -128 -128 -3 -4
-1 -47 -65 -128 -42 -128 -128 -128
58 -14 -76 -20 14 36 21 60
-17 11 24 -1 -15 0 -2 -46
32 0 -5 -10 -10 -4 10 59
9 23 -10 -128 -128 -45 -21 -21
4 5 1 3 9 31 41 -29
20 45 36 -32 -66 -39 20 11
-128 -13 26 95 112 67 -11 -27
-16 -13 30 -128 10 -2 -8 -7
5 11 -29 -128 -128 -14 -14 7
24 -17 -25 -93 -21 39 5 5
91 -128 51 -1 1 -19 0 51
27 33 36 0 -19 -53 2 -3
-128 -128 17 -33 -24 -15 17 -128
12 26 58 9 -2 -6 1 7
-128 -128 -28 9 9 4 -3 -23
-15 -60 -57 -128 -37 15 -128 84
10 11 -128 0 0 -2 -6 0
5 -2 0 1 1 2 19 17
8 -4 -7 -10 0 8 23 25
-15 -13 -14 -15 -14 -11 -7 -19
-8 -128 -27 -14 3 5 2 -10
-128 -128 -6 3 19 26 -128 -128
6 3 1 1 5 16 22 12
16 11 -7 -2 17 -7 -12 13
14 34 9 -4 -2 -1 0 2
-3 -36 -16 -11 -9 -10 -15 -20
-7 -16 -6 -6 -3 -1 3 8
35 18 -1 -3 -3 0 9 30
5 7 4 -1 3 3 5 0
15 2 7 2 1 0 -1 2
1 -3 -4 -7 -1 13 8 3
-128 -128 -128 -40 -20 -13 10 -128
25 13 38 17 4 14 5 7
-9 -23 -20 -18 -14 -11 -21 -12
39 38 1 -30 -40 -22 39 -128
-21 -24 5 -128 -128 -128 -128 -19
20 4 -10 -20 -7 0 4 12
17 0 -7 9 9 13 23 21
-16 2 -128 -128 39 -19 -14 -21
2 8 20 6 15 23 17 1
34 31 29 23 16 43 -128 -128
-20 -13 -14 -5 -4 -6 15 -128
32 54 32 -5 -47 -66 -18 -35
-128 -128 -128 -128 -128 0 14 15
-10 4 -128 39 4 9 5 -3
@ 1243483156 60
-4 -9 -1 5 7 5 1 -2
0 1 0 -2 0 -7 -6 -5
-3 -4 0 -2 -4 2 3 1
-1 -2 -3 -6 -4 3 4 1
74 -11 24 -1 10 88 101 69
1 -6 3 4 14 15 16 -35
-12 -13 -4 2 -1 -1 -1 -9
35 -128 -128 31 32 -26 -65 -20
37 -128 30 -57 -35 -31 -9 -59
19 4 5 -17 6 26 41 29
2 -22 -2 11 12 10 33 20
65 -33 16 12 80 -128 73 -59
0 -128 -128 -128 6 10 10 12
3 -9 -62 -128 -128 -51 8 14
-47 -5 11 21 9 8 2 -39
-60 -60 -14 10 16 21 20 -12
-18 -16 -7 12 23 9 -7 -20
52 -128 70 -128 55 0 -14 0
9 0 -3 -18 -26 13 81 21
-8 -8 -1 1 -1 -3 -2 -4
8 -26 -25 -36 -21 -27 8 -128
11 3 -26 -128 4 23 20 30
-6 -21 -17 -7 2 3 4 0
-14 -16 -18 -9 11 35 24 1
-27 -14 4 7 13 14 8 -10
-52 -42 9 -14 -128 -8 31 54
19 6 -1 -3 -3 -7 -2 11
-2 -39 2 7 6 -1 3 -7
17 32 29 -15 -17 -18 -65 -35
2 11 11 2 0 0 -20 -40
-2 3 7 13 11 3 -3 -5
27 0 -7 6 -7 0 -45 47
9 29 33 8 -128 -128 -128 -128
-10 -7 -3 5 11 9 5 -2
3 18 21 13 1 -11 -11 -15
-7 -19 -128 -128 -128 41 52 20
-2 4 7 10 9 1 -7 -11
-6 -11 1 -19 24 22 -3 -13
2 -4 -2 3 3 -2 1 4
-10 -56 -38 -10 -5 6 9 -2
11 9 11 6 12 15 12 12
6 -4 -10 -13 -1 7 7 9
-59 -7 0 -4 36 10 -2 -62
-31 -29 -41 -32 -7 37 -128 18
-8 -13 16 11 15 -7 -9 -17
14 4 -2 -15 -14 -12 -2 7
-33 18 77 24 32 21 -6 -40
0 -3 0 -2 -5 -1 3 2
-11 -27 -40 -4 11 18 18 4
3 6 8 7 2 -1 -8 -5
-10 -4 6 14 13 8 2 -5
0 0 3 -3 -6 -1 -3 -7
3 -3 2 4 -6 -16 -6 2
3 9 0 -37 -60 -128 -128 -17
50 -128 -128 30 11 12 12 35
25 24 29 17 -9 -40 -45 -16
1 -1 0 0 6 8 7 0
1 9 26 14 6 -1 -4 -8
56 -128 32 -28 -128 30 38 83
5 15 20 16 5 -11 -16 -10
@ 1245768441 41
31 -12 -99 -128 14 6 -15 -10
-128 -128 42 -16 -15 -9 41 -128
7 7 9 7 1 -3 -1 2
2 3 3 -2 -3 -2 -1 2
-2 -2 12 -128 -128 -128 10 -2
18 12 30 -128 -128 -128 -128 2
87 29 -6 -15 -15 6 79 -128
-128 -128 -6 -12 -8 -8 -9 -128
-2 -7 -3 13 22 18 0 -3
-4 14 -128 -128 -128 13 -5 -11
-2 -28 -9 -8 -32 -49 -29 -11
-49 -16 23 45 54 43 -1 -29
2 -3 -1 1 3 2 0 -1
30 28 -1 -4 -1 -3 12 -128
18 21 39 36 41 -22 -17 -5
12 15 39 -31 -40 -128 -50 -128
8 -128 -128 -128 6 -5 -1 0
-9 -128 -128 -128 34 -128 -128 25
-39 9 27 20 -80 -128 -76 -55
-51 -27 -5 10 34 6 6 -34
4 2 4 -3 -3 -1 0 2
0 0 7 12 10 25 33 0
1 9 14 9 5 -12 -21 -19
3 2 0 -1 -1 -1 2 2
-7 -2 42 26 -8 -33 -3 -10
3 18 24 75 26 -57 23 -56
2 -12 -3 -16 -10 -10 6 -7
8 3 1 -1 -1 -2 0 6
3 2 1 -2 -2 -2 0 1
82 0 -23 -8 -5 -12 29 -128
-2 -2 0 1 3 3 1 -1
-128 -43 4 10 4 -44 -128 -128
-1 36 39 -128 -9 -18 -13 -13
-128 31 -13 -7 -7 -15 38 -128
-128 18 19 -14 -12 -9 3 15
43 -128 -128 11 1 0 -1 -5
-128 -54 -19 -16 6 7 0 -128
-18 21 25 -5 12 39 17 -128
1 1 2 -2 -3 -1 0 -1
-2 -2 0 2 2 2 0 -2
0 11 13 25 6 -1 0 -1
@ 1250205987 60
-10 -3 63 73 -128 74 98 -58
3 -45 78 -128 41 -128 -128 53
-1 19 0 -36 -128 -128 -128 -51
-73 -11 71 54 -3 -6 -30 -77
-61 -56 23 70 23 18 -56 23
-21 -49 -57 25 41 -6 -91 -128
-128 -128 -128 -128 -39 -71 -86 53
5 -66 -128 -92 -98 -128 5 -128
-128 -85 -70 -128 -128 -128 -128 -128
57 60 63 -128 -56 -40 12 13
43 45 75 -128 77 -128 -128 8
-16 -9 9 -37 -35 -7 13 -3
3 3 -64 -18 -128 17 -9 -91
47 1 1 46 117 46 -41 0
-35 -128 -128 -128 54 -65 -37 -8
-61 -69 -70 -1 56 -128 -128 -128
-128 -128 -128 48 -128 -128 19 -128
-128 49 52 -128 -19 -47 -71 -73
33 -17 -15 -2 -14 -63 -41 35
-65 -128 -128 -128 -128 -128 65 78
8 55 81 80 28 -68 -59 -55
-128 -128 -128 -128 72 0 -3 -48
70 14 48 18 -26 57 -128 87
39 -23 -8 28 13 22 -4 0
-36 -14 5 58 3 30 64 -128
50 5 36 0 -70 31 31 46
5 30 4 -16 -17 3 79 -128
-42 -20 10 56 61 51 18 -42
37 -70 -6 -5 -38 -43 -25 20
-128 -32 60 43 36 -128 -128 -17
-11 -30 -6 -5 70 22 -67 -128
34 47 80 65 -4 -47 -9 13
-52 -49 -85 -76 1 62 74 45
-119 -54 -128 59 -39 -33 -31 -128
-17 -22 -33 -51 -8 -4 -11 -30
-76 -128 -128 -128 -128 -69 -28 -24
-128 52 55 42 -128 -128 54 -128
5 -128 -73 -128 -82 -55 4 6
-52 -66 -128 -128 22 -23 -78 -40
-128 -128 -128 -128 -128 -128 -128 -8
65 -128 37 -128 -128 -128 -128 18
-13 -35 -35 -37 -9 11 24 0
80 -71 -128 0 -25 -58 0 -128
-128 -128 0 8 0 -128 -128 -128
-77 21 22 -18 -128 -43 -56 -128
-16 7 26 28 34 13 -13 -25
-128 -128 -128 -128 25 72 13 5
-4 -4 -128 -128 -128 -3 2 45
-69 -47 -128 -128 75 74 -1 -49
102 71 32 -32 -102 -128 -128 60
-14 25 53 59 18 -15 -39 -52
-53 -65 -69 1 42 11 -74 2
12 -128 -128 -128 -128 -128 -128 -13
100 73 52 0 -7 -10 44 -128
82 -128 -128 46 -128 -128 -128 -128
-128 -128 -128 -128 59 -50 -128 -128
1 7 16 11 8 0 -128 -128
-8 2 -128 -61 -69 -128 -128 -128
-128 -128 -113 55 -1 -51 -128 -128
82 12 21 -14 67 -128 -128 20
@ 1262508887 60
1 0 -2 -14 -9 -5 0 1
-1 -1 0 -1 0 -1 -2 -4
1 -5 -5 -4 -2 8 22 21
6 0 -13 -21 -10 0 6 6
-28 -24 11 51 65 39 17 -24
-23 -8 2 20 18 3 -7 -128
28 -10 -18 -22 -4 8 58 84
-128 -5 12 27 25 8 -15 -58
-4 -40 -91 -37 -5 41 57 42
-128 -49 14 31 28 9 -29 -128
-21 -15 88 91 14 2 -6 -11
-10 -7 -2 6 9 6 2 -8
11 13 10 2 -11 -85 -38 3
16 5 -30 -72 -128 -40 10 20
-128 -128 -1 9 18 8 -2 -128
-14 -11 -11 17 54 59 38 -7
-16 3 32 25 25 0 -17 -24
14 28 19 0 -128 -128 -128 0
19 9 0 -63 -128 -57 0 15
15 -11 -49 -39 0 7 15 18
80 -128 10 -16 -17 -20 -6 16
-1 3 30 36 16 -1 -7 -11
23 10 -10 -76 -88 -60 -3 23
31 24 13 -17 -21 -18 -4 19
-25 -21 3 21 29 20 -1 -14
-11 3 8 -8 -21 -33 -23 -21
-23 -3 5 9 5 0 -9 -128
-33 -25 -13 7 11 8 1 -27
-8 2 6 5 3 -9 -36 -34
3 2 -2 -13 -12 -6 -1 1
-6 -11 -5 -9 -6 -3 1 0
0 2 4 4 3 2 0 0
24 18 11 -8 -112 -128 -13 15
-28 -76 -128 -16 8 27 23 3
-3 -2 21 34 29 -5 -8 -8
-3 -9 -5 -2 0 1 1 -1
-1 -3 -4 -5 0 1 2 0
-20 -9 2 3 4 2 -2 -20
-128 -128 -8 24 30 21 2 -44
31 4 -15 -32 -13 7 18 27
40 10 3 0 -128 0 15 24
-5 -12 -16 -59 -26 -11 -3 -3
22 30 36 12 -12 -128 -93 -10
-59 4 11 7 -16 -86 -128 -128
20 70 47 5 -1 -10 -35 -18
-128 -28 1 9 15 13 -13 -128
42 27 5 -17 -19 -17 5 26
-36 -31 -10 5 28 35 25 -7
-27 -25 10 24 21 -3 -6 -13
-45 33 -128 -2 45 -128 -128 -42
-128 -9 -7 21 38 43 34 -10
-15 -9 0 0 -2 -8 -13 -22
4 3 0 -8 -14 -13 -3 1
10 8 0 -21 -29 -35 -14 1
11 11 9 -3 -11 -13 -3 7
17 6 -5 -27 -94 -22 25 25
-24 -4 7 7 7 0 -10 -25
-13 4 5 19 7 -7 -8 -10
-91 -86 -2 15 -128 55 -6 -40
-27 -11 10 28 52 22 -4 -29
@ 1267275791 60
0 -1 -128 -128 -128 -128 -128 -128
-5 -6 -2 -6 -1 -3 -2 -54
8 8 7 -128 -128 -128 -128 6
9 -128 -128 22 -128 61 -128 14
-47 -31 7 -3 12 14 -7 -43
21 49 44 50 20 0 -13 0
-31 -128 -56 -36 18 3 -1 -4
